year,month,day,close,volume,start,high,low
2018,5,25,"95,200","4,145,819","94,300","97,700","93,900"
2018,5,24,"94,600","3,220,029","95,300","95,900","94,600"
2018,5,23,"95,300","10,378,915","91,900","95,500","91,500"
2018,5,21,"89,100","3,262,983","88,400","89,400","87,400"
2018,5,18,"87,900","2,187,789","87,200","88,000","85,400"
2018,5,17,"86,700","2,864,278","88,400","88,700","86,000"
2018,5,16,"87,000","3,040,180","85,000","87,000","84,800"
2018,5,15,"84,600","2,239,370","86,000","86,000","83,900"
2018,5,14,"85,400","1,959,236","86,100","86,300","84,500"
2018,5,11,"86,100","2,107,047","86,600","86,800","85,400"
2018,5,10,"85,800","3,274,963","85,400","85,800","84,500"
2018,5,9,"83,400","2,284,106","84,300","84,700","83,100"
2018,5,8,"83,500","2,979,605","84,500","85,300","83,200"
2018,5,4,"83,000","2,696,141","83,500","84,100","82,600"
2018,5,3,"82,900","2,362,792","83,200","83,900","82,800"
2018,5,2,"83,100","5,444,240","85,900","86,000","82,900"
2018,4,30,"84,500","4,653,153","85,400","85,700","84,000"
2018,4,27,"87,100","4,961,867","88,500","88,800","86,800"
2018,4,26,"86,500","7,551,747","83,800","87,100","83,300"
2018,4,25,"82,400","3,845,661","81,600","83,000","80,900"
2018,4,24,"82,100","6,804,182","83,300","83,400","80,400"
2018,4,23,"84,400","3,002,461","83,400","85,300","83,300"
2018,4,20,"84,400","4,590,640","85,900","86,300","84,000"
2018,4,19,"87,900","5,901,782","85,800","88,200","85,300"
2018,4,18,"84,600","3,375,376","84,100","85,400","83,700"
2018,4,17,"82,800","2,501,282","83,900","84,000","82,300"
2018,4,16,"84,000","1,489,091","84,200","84,700","83,400"
2018,4,13,"84,200","3,032,369","85,000","85,900","83,900"
2018,4,12,"84,000","5,725,102","81,900","85,100","81,500"
2018,4,11,"81,200","3,053,453","82,400","82,400","81,000"
2018,4,10,"80,400","2,924,054","80,000","80,800","79,200"
2018,4,9,"80,600","3,231,256","80,000","81,200","79,300"
2018,4,6,"80,300","5,693,281","80,000","80,600","79,300"
2018,4,5,"82,900","3,255,356","82,200","83,200","81,200"
2018,4,4,"80,400","2,964,537","82,500","83,000","80,000"
2018,4,3,"81,800","3,553,815","80,300","81,800","78,700"
2018,4,2,"81,300","2,342,407","81,700","82,800","81,100"
2018,3,30,"81,300","3,681,673","81,200","83,300","81,100"
2018,3,29,"80,300","3,618,849","80,800","81,300","79,600"
2018,3,28,"80,300","4,820,673","79,900","82,200","79,600"
2018,3,27,"81,400","7,184,488","84,700","84,800","80,100"
2018,3,26,"84,000","6,121,334","82,300","84,000","81,000"
2018,3,23,"83,100","7,310,739","85,100","86,400","82,800"
2018,3,22,"88,600","2,698,169","88,800","89,300","88,000"
2018,3,21,"88,400","2,942,484","89,600","90,300","88,000"
2018,3,20,"89,600","3,083,666","88,900","89,700","88,000"
2018,3,19,"89,900","3,743,718","90,200","91,500","89,500"
2018,3,16,"89,800","5,006,430","88,500","89,900","87,200"
2018,3,15,"89,600","4,106,667","90,300","90,500","88,600"
2018,3,14,"90,700","5,939,290","89,300","90,900","89,200"
2018,3,13,"90,000","8,775,741","88,000","90,000","87,600"
2018,3,12,"84,900","2,744,795","84,900","85,600","84,300"
2018,3,9,"83,300","5,159,197","84,400","85,900","83,100"
2018,3,8,"83,500","4,440,076","83,900","84,300","81,800"
2018,3,7,"82,700","4,992,841","83,600","83,900","82,400"
2018,3,6,"82,400","7,588,369","80,100","82,500","80,000"
2018,3,5,"78,300","3,415,061","77,500","78,900","77,100"
2018,3,2,"77,400","2,673,152","76,300","77,800","75,900"
2018,2,28,"76,800","3,102,987","78,600","79,200","76,600"
2018,2,27,"78,700","3,395,415","78,700","79,200","78,400"
2018,2,26,"77,500","2,327,486","78,300","78,500","77,200"
2018,2,23,"77,300","2,404,473","76,100","77,600","76,000"
2018,2,22,"75,900","1,879,461","76,100","77,400","75,700"
2018,2,21,"76,900","2,653,870","75,800","77,200","75,800"
2018,2,20,"75,500","2,507,719","76,400","76,500","75,200"
2018,2,19,"76,500","3,350,577","78,900","79,000","76,100"
2018,2,14,"77,600","3,943,628","78,400","79,500","77,000"
2018,2,13,"77,700","7,814,367","75,900","77,800","75,800"
2018,2,12,"74,500","3,317,876","73,700","74,700","73,400"
2018,2,9,"73,400","5,118,112","72,100","74,200","72,000"
2018,2,8,"73,900","5,586,858","71,900","74,200","71,600"
2018,2,7,"71,100","6,007,913","73,700","73,800","70,800"
2018,2,6,"70,200","5,679,965","69,100","71,300","68,200"
2018,2,5,"70,200","4,058,439","70,200","70,900","69,800"
2018,2,2,"72,200","4,343,077","74,500","74,600","71,800"
2018,2,1,"74,400","2,987,816","74,900","75,200","74,000"
2018,1,31,"73,500","5,800,892","72,200","74,500","72,200"
2018,1,30,"73,100","5,443,314","74,300","74,600","73,100"
2018,1,29,"75,300","3,618,328","76,500","77,000","75,000"
2018,1,26,"75,500","4,296,170","76,400","76,400","74,200"
2018,1,25,"75,800","8,758,929","73,400","76,200","72,300"
2018,1,24,"72,400","3,802,939","71,600","73,200","71,500"
2018,1,23,"71,300","4,671,451","71,800","72,200","70,900"
2018,1,22,"71,100","5,610,463","72,800","72,800","70,700"
2018,1,19,"73,300","3,898,397","75,300","75,800","73,000"
2018,1,18,"75,200","6,199,800","75,800","76,800","74,600"
2018,1,17,"74,100","3,256,624","74,400","75,000","73,700"
2018,1,16,"74,400","4,383,229","72,700","74,700","72,700"
2018,1,15,"72,700","3,541,267","73,700","74,100","72,500"
2018,1,12,"74,400","5,659,087","73,300","74,500","72,000"
2018,1,11,"72,600","3,777,867","73,200","73,800","72,000"
2018,1,10,"72,900","9,123,901","76,700","76,700","72,500"
2018,1,9,"76,900","3,343,874","78,300","78,900","76,300"
2018,1,8,"78,200","2,960,495","79,500","80,000","77,400"
2018,1,5,"79,300","3,395,065","78,400","79,400","78,300"
2018,1,4,"77,100","3,729,328","78,700","79,700","77,100"
2018,1,3,"77,700","3,097,644","78,100","78,800","77,300"
2018,1,2,"76,600","2,014,838","77,300","77,300","76,200"
2017,12,28,"76,500","2,825,939","75,400","76,700","75,200"
2017,12,27,"75,100","4,291,492","75,400","76,400","74,400"
2017,12,26,"74,000","6,253,943","76,600","76,900","74,000"
2017,12,22,"76,700","3,382,954","76,400","77,400","76,300"
2017,12,21,"77,000","4,831,110","80,200","80,600","76,900"
2017,12,20,"80,100","4,375,810","80,900","81,600","79,900"
2017,12,19,"80,200","6,782,210","78,400","80,800","78,200"
2017,12,18,"77,200","3,237,589","76,200","77,300","75,900"
2017,12,15,"75,700","3,374,982","77,100","77,400","75,600"
2017,12,14,"76,000","5,552,560","77,200","77,600","76,000"
2017,12,13,"76,800","3,485,920","77,400","77,500","76,200"
2017,12,12,"77,800","3,746,347","79,000","79,000","77,100"
2017,12,11,"78,700","2,493,176","79,000","79,500","78,000"
2017,12,8,"78,700","3,660,716","77,500","78,900","76,900"
2017,12,7,"76,000","5,166,136","78,300","78,300","75,600"
2017,12,6,"77,500","3,934,238","78,700","79,500","77,200"
2017,12,5,"77,900","3,736,568","77,600","79,300","77,100"
2017,12,4,"79,100","4,115,752","77,600","79,200","76,800"
2017,12,1,"77,400","4,340,592","77,200","78,800","77,100"
2017,11,30,"76,800","11,213,748","77,000","79,600","76,800"
